UBIGEO,NOM_DPTO,NOM_PROV,NOM_DIST,IDH,quintil_idh,ingreso_per_capita,esperanza_vida,anios_educacion,pct_secundaria_completa,POB_HAB,IDH_RANK
140115,LAMBAYEQUE,CHICLAYO,SAÑA,0.526977,4,777.524505,80.685742,7.841573,64.404656,9738,408
080601,CUSCO,CANCHIS,SICUANI,0.526564,4,746.736113,76.320215,8.636399,72.592408,59032,409
220206,SAN MARTIN,BELLAVISTA,SAN RAFAEL,0.526107,4,1209.72773,71.603381,6.146489,50.561499,7567,410
090601,HUANCAVELICA,HUAYTARA,HUAYTARA,0.525859,4,891.28326,73.821565,8.902807,52.912022,2062,411
170103,MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,0.525748,4,894.682358,74.038237,8.141897,58.200487,9163,412
110506,ICA,PISCO,SAN ANDRES,0.525712,4,731.590353,76.76263,9.628928,64.420319,12642,413
061309,CAJAMARCA,SANTA CRUZ,SEXI,0.525203,4,769.859852,75.634722,7.158619,87.867269,503,414
020803,ANCASH,CASMA,COMANDANTE NOEL,0.525175,4,935.819648,77.14627,7.010859,56.678455,1908,415
040516,AREQUIPA,CAYLLOMA,TAPAY,0.525085,4,953.004196,78.952688,7.15939,49.518797,588,416
040412,AREQUIPA,CASTILLA,UÑON,0.524857,4,783.093933,74.920103,8.861725,65.932182,367,417
010601,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,0.524841,4,973.558105,73.637572,7.803145,51.897325,5986,418
230104,TACNA,TACNA,CIUDAD NUEVA,0.524735,4,693.961363,77.188483,9.056869,75.55179,37524,419
211105,PUNO,SAN ROMAN,SAN MIGUEL,0.522568,4,728.664322,73.875686,8.745563,79.229999,65445,420
021103,ANCASH,HUARMEY,CULEBRAS,0.522405,4,920.50074,78.102842,7.157422,53.296504,3657,421
150603,LIMA,HUARAL,ATAVILLOS BAJO,0.522331,4,725.420709,80.651084,8.693712,61.982602,776,422
120906,JUNIN,CHUPACA,SAN JUAN DE ISCOS,0.522327,4,765.782438,73.452943,8.414793,76.058146,1967,423
200606,PIURA,SULLANA,MIGUEL CHECA,0.521489,4,828.509275,81.300001,6.638649,64.692178,9424,424
230107,TACNA,TACNA,PALCA,0.52006,4,784.01202,75.481288,8.89312,60.599438,1892,425
230404,TACNA,TARATA,ESTIQUE-PAMPA,0.519754,4,598.392602,82.214492,8.339182,90.126832,529,426
080107,CUSCO,CUSCO,SAYLLA,0.519685,4,727.116236,77.879334,8.375865,69.467591,6457,427
050801,AYACUCHO,PAUCAR DEL SARA SARA,PAUSA,0.519542,4,820.313317,75.495422,8.456507,58.359282,2875,428
040106,AREQUIPA,AREQUIPA,CHIGUATA,0.519086,4,714.559468,79.39284,7.936019,72.482552,3114,429
150732,LIMA,HUAROCHIRI,SURCO,0.518585,4,786.398581,70.777751,8.623345,74.833763,1712,430
040203,AREQUIPA,CAMANA,MARIANO NICOLAS VALCARCEL,0.518391,4,674.421445,82.843828,8.692387,63.930607,7967,431
180208,MOQUEGUA,GENERAL SANCHEZ CERRO,PUQUINA,0.51831,4,775.638194,77.375831,7.472371,70.554387,2123,432
220201,SAN MARTIN,BELLAVISTA,BELLAVISTA,0.51781,4,1033.061103,69.021459,7.591749,53.5542,12833,433
220912,SAN MARTIN,SAN MARTIN,SAN ANTONIO,0.5169,4,980.5783,73.680109,6.812251,55.786944,1384,434
120412,JUNIN,JAUJA,JULCAN,0.5168,4,806.636081,71.504677,8.436658,69.245624,600,435
120215,JUNIN,CONCEPCION,SANTA ROSA DE OCOPA,0.516636,4,853.671659,71.325618,7.844207,67.940537,1892,436
090603,HUANCAVELICA,HUAYTARA,CORDOVA,0.516413,4,1094.346898,66.651879,7.170752,56.341505,2311,437
220903,SAN MARTIN,SAN MARTIN,CACATACHI,0.51617,4,830.960006,74.048555,7.496102,67.665533,3606,438
010303,AMAZONAS,BONGARA,CHURUJA,0.515914,4,950.346361,64.384458,7.398539,80.499089,245,439
020501,ANCASH,BOLOGNESI,CHIQUIAN,0.515532,4,836.747527,71.444407,8.931625,58.96969,3451,440
151033,LIMA,YAUYOS,VITIS,0.515071,4,665.690659,83.788655,9.054435,58.157218,545,441
120210,JUNIN,CONCEPCION,MATAHUASI,0.51501,4,838.172719,70.89081,8.807737,60.879812,5279,442
