UBIGEO,NOM_DPTO,NOM_PROV,NOM_DIST,pct_sin_cobertura,BASE_norm,pct_escuelas_operativas,S1_raw,S1_norm,pct_establecimientos_operativos,S2_raw,S2_norm,calidad_conexion,S3_raw,S3_norm,tiene_dependencia_policial,pct_operativas,S4_raw,S4_norm,IVDC_sectorial,IVDC_v2,quintil_ivdc_v2,IDH,quintil_idh,ingreso_per_capita,esperanza_vida,anios_educacion,IDH_num
211104,PUNO,SAN ROMAN,CARACOTO,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.364693,3,387.028525,74.390031,5.594162,0.364693
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.364667,3,435.895412,71.93833,5.673707,0.364667
100323,HUANUCO,DOS DE MAYO,YANAS,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.364656,3,622.315921,69.722054,4.13794,0.364656
220202,SAN MARTIN,BELLAVISTA,ALTO BIAVO,48.28,0.4828,0.0,100.0,1.0,0.0,100.0,1.0,2,3,0.6,0.0,,100.0,1.0,0.9,0.792582,5,0.364569,3,641.800074,74.989769,4.709871,0.364569
021016,ANCASH,HUARI,UCO,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,1.0,0.0,100.0,1.0,0.75,0.576923,2,0.364502,3,368.964849,74.641876,6.721999,0.364502
030211,APURIMAC,ANDAHUAYLAS,POMACOCHA,48.0,0.48,100.0,0.0,0.0,100.0,0.0,0.0,5,0,0.0,0.0,,100.0,1.0,0.25,0.22,1,0.364101,3,335.326945,78.404431,5.236412,0.364101
230405,TACNA,TARATA,SITAJARA,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0,5,1.0,1.0,100.0,0.0,0.0,0.25,0.192308,1,0.363991,3,318.562435,79.235167,7.289928,0.363991
190110,PASCO,PASCO,TICLACAYAN,42.38,0.4238,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,1.0,0.0,100.0,1.0,0.75,0.650273,4,0.363912,3,345.391191,72.711891,6.669799,0.363912
230201,TACNA,CANDARAVE,CANDARAVE,49.56,0.4956,100.0,0.0,0.0,0.0,100.0,1.0,3,2,0.4,0.0,,100.0,1.0,0.6,0.53016,2,0.363263,3,377.358426,69.914944,6.638294,0.363263
061107,CAJAMARCA,SAN MIGUEL,LLAPA,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,2,3,0.6,0.0,,100.0,1.0,0.9,0.692308,4,0.363094,3,477.833417,77.344905,4.592105,0.363094
151013,LIMA,YAUYOS,HUAMPARA,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,1,4,0.8,0.0,,100.0,1.0,0.45,0.346154,2,0.362834,3,476.656457,73.044617,8.168298,0.362834
010703,AMAZONAS,UTCUBAMBA,CUMBA,2.7,0.027,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,1.0,0.0,100.0,1.0,0.75,0.581596,3,0.362661,3,586.971925,70.763342,4.79139,0.362661
021708,ANCASH,RECUAY,PARARIN,19.35,0.1935,0.0,100.0,1.0,0.0,100.0,1.0,3,2,0.4,0.0,,100.0,1.0,0.85,0.691802,4,0.362571,3,397.640625,67.237794,6.622404,0.362571
120909,JUNIN,CHUPACA,YANACANCHA,24.0,0.24,0.0,100.0,1.0,0.0,100.0,1.0,2,3,0.6,0.0,,100.0,1.0,0.9,0.742154,5,0.362346,3,427.976077,71.228074,5.946596,0.362346
010519,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,2,3,0.6,0.0,,100.0,1.0,0.9,0.692308,4,0.36214,3,586.205954,72.873817,4.099723,0.36214
050303,AYACUCHO,HUANCA SANCOS,SACSAMARCA,73.68,0.7368,100.0,0.0,0.0,100.0,0.0,0.0,2,3,0.6,0.0,,100.0,1.0,0.4,0.375705,2,0.362054,3,433.058181,74.246786,5.409897,0.362054
100113,HUANUCO,HUANUCO,SAN PABLO DE PILLAO,20.97,0.2097,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.613217,4,0.361509,3,742.603473,79.417089,2.840541,0.361509
050609,AYACUCHO,LUCANAS,LEONCIO PRADO,40.0,0.4,0.0,100.0,1.0,100.0,0.0,0.0,3,2,0.4,0.0,,100.0,1.0,0.6,0.516923,2,0.361236,3,421.063622,63.704659,6.825057,0.361236
