UBIGEO,total_localidades_pronatel,localidades_operativas,localidades_en_ejecucion,localidades_proyectadas,pct_operativo,pob_cubierta_operativo,iiee_cubiertos,eess_cubiertos,dp_cubiertos
020906,1,0,1,0,0.0,0,0,0,0
020907,1,0,1,0,0.0,0,0,0,0
021001,7,0,7,0,0.0,0,0,0,0
021002,2,0,2,0,0.0,0,0,0,0
021003,3,0,3,0,0.0,0,0,0,0
021004,12,0,12,0,0.0,0,0,0,0
021005,5,0,5,0,0.0,0,0,0,0
021006,3,0,3,0,0.0,0,0,0,0
021007,3,0,3,0,0.0,0,0,0,0
021008,3,0,3,0,0.0,0,0,0,0
021009,3,0,3,0,0.0,0,0,0,0
021010,2,0,2,0,0.0,0,0,0,0
021011,6,0,6,0,0.0,0,0,0,0
021012,1,0,1,0,0.0,0,0,0,0
021013,3,0,3,0,0.0,0,0,0,0
021014,10,0,10,0,0.0,0,0,0,0
021015,2,0,2,0,0.0,0,0,0,0
021016,3,0,3,0,0.0,0,0,0,0
021101,3,0,3,0,0.0,0,0,0,0
021102,1,0,1,0,0.0,0,0,0,0
021103,3,0,3,0,0.0,0,0,0,0
021104,2,0,2,0,0.0,0,0,0,0
021105,1,0,1,0,0.0,0,0,0,0
021201,10,0,10,0,0.0,0,0,0,0
021202,1,0,1,0,0.0,0,0,0,0
021203,1,0,1,0,0.0,0,0,0,0
021204,2,0,2,0,0.0,0,0,0,0
021206,10,0,10,0,0.0,0,0,0,0
021207,8,0,8,0,0.0,0,0,0,0
021208,7,0,7,0,0.0,0,0,0,0
021209,2,0,2,0,0.0,0,0,0,0
021210,1,0,1,0,0.0,0,0,0,0
021301,1,0,1,0,0.0,0,0,0,0
021302,5,0,5,0,0.0,0,0,0,0
021303,2,0,2,0,0.0,0,0,0,0
021304,2,0,2,0,0.0,0,0,0,0
021305,1,0,1,0,0.0,0,0,0,0
021306,10,0,10,0,0.0,0,0,0,0
021307,5,0,5,0,0.0,0,0,0,0
021308,2,0,2,0,0.0,0,0,0,0
021402,1,0,1,0,0.0,0,0,0,0
021403,1,0,1,0,0.0,0,0,0,0
021404,1,0,1,0,0.0,0,0,0,0
021405,1,0,1,0,0.0,0,0,0,0
021406,1,0,1,0,0.0,0,0,0,0
021407,1,0,1,0,0.0,0,0,0,0
021408,1,0,1,0,0.0,0,0,0,0
021409,1,0,1,0,0.0,0,0,0,0
021410,1,0,1,0,0.0,0,0,0,0
021501,2,0,2,0,0.0,0,0,0,0
021502,1,0,1,0,0.0,0,0,0,0
021503,2,0,2,0,0.0,0,0,0,0
021504,1,0,1,0,0.0,0,0,0,0
021505,1,0,1,0,0.0,0,0,0,0
021506,1,0,1,0,0.0,0,0,0,0
021507,1,0,1,0,0.0,0,0,0,0
021508,2,0,2,0,0.0,0,0,0,0
021509,4,0,4,0,0.0,0,0,0,0
021510,2,0,2,0,0.0,0,0,0,0
021511,5,0,5,0,0.0,0,0,0,0
021601,3,0,3,0,0.0,0,0,0,0
021602,5,0,5,0,0.0,0,0,0,0
021603,9,0,9,0,0.0,0,0,0,0
021604,3,0,3,0,0.0,0,0,0,0
021701,1,0,1,0,0.0,0,0,0,0
021703,1,0,1,0,0.0,0,0,0,0
