UBIGEO,total_escuelas_pronatel,escuelas_operativas,escuelas_no_operativas,pct_escuelas_operativas
030216,7,7,0,100.00%
030217,2,2,0,100.00%
030218,4,4,0,100.00%
030219,2,2,0,100.00%
030220,6,6,0,100.00%
030302,2,2,0,100.00%
030303,4,4,0,100.00%
030304,4,4,0,100.00%
030305,4,4,0,100.00%
030306,3,3,0,100.00%
030307,3,3,0,100.00%
030402,2,2,0,100.00%
030403,1,1,0,100.00%
030404,8,8,0,100.00%
030405,1,1,0,100.00%
030406,4,4,0,100.00%
030408,2,2,0,100.00%
030409,1,1,0,100.00%
030410,3,3,0,100.00%
030411,2,2,0,100.00%
030412,2,2,0,100.00%
030413,1,1,0,100.00%
030414,6,6,0,100.00%
030415,7,7,0,100.00%
030416,3,3,0,100.00%
030417,2,2,0,100.00%
030501,4,4,0,100.00%
030502,5,5,0,100.00%
030503,8,8,0,100.00%
030504,14,14,0,100.00%
030505,5,5,0,100.00%
030506,5,5,0,100.00%
030601,6,6,0,100.00%
030602,11,11,0,100.00%
030603,2,2,0,100.00%
030604,9,9,0,100.00%
030605,16,16,0,100.00%
030606,8,8,0,100.00%
030607,8,8,0,100.00%
030608,9,9,0,100.00%
030609,6,6,0,100.00%
030610,4,4,0,100.00%
030701,1,1,0,100.00%
030702,6,6,0,100.00%
030703,3,3,0,100.00%
030704,4,4,0,100.00%
030705,2,2,0,100.00%
030706,2,2,0,100.00%
030707,2,2,0,100.00%
030708,2,2,0,100.00%
030709,2,2,0,100.00%
030710,2,2,0,100.00%
030711,2,2,0,100.00%
030712,2,2,0,100.00%
030713,2,2,0,100.00%
030714,4,4,0,100.00%
040106,4,0,4,0.00%
040108,14,0,14,0.00%
040113,3,0,3,0.00%
040114,5,0,5,0.00%
040116,1,0,1,0.00%
040118,1,0,1,0.00%
040119,1,0,1,0.00%
040120,3,0,3,0.00%
040123,1,0,1,0.00%
040124,1,0,1,0.00%
040125,5,0,5,0.00%
040127,1,0,1,0.00%
040128,2,0,2,0.00%
040202,1,0,1,0.00%
040203,2,0,2,0.00%
040204,1,0,1,0.00%
040206,5,0,5,0.00%
040207,1,0,1,0.00%
040208,4,0,4,0.00%
040302,6,0,6,0.00%
040303,1,0,1,0.00%
040304,3,0,3,0.00%
040305,1,0,1,0.00%
040306,3,0,3,0.00%
040308,6,0,6,0.00%
040309,3,0,3,0.00%
040310,4,0,4,0.00%
040311,2,0,2,0.00%
040312,4,0,4,0.00%
040401,10,0,10,0.00%
040402,2,0,2,0.00%
040403,1,0,1,0.00%
040404,3,0,3,0.00%
040405,3,0,3,0.00%
040406,3,0,3,0.00%
040408,5,0,5,0.00%
040409,7,0,7,0.00%
040410,4,0,4,0.00%
040411,5,0,5,0.00%
040412,2,0,2,0.00%
040413,7,0,7,0.00%
040414,6,0,6,0.00%
040501,1,0,1,0.00%
040502,2,0,2,0.00%
040503,5,0,5,0.00%
040504,3,0,3,0.00%
040505,2,0,2,0.00%
040506,1,0,1,0.00%
040507,2,0,2,0.00%
040508,6,0,6,0.00%
040509,1,0,1,0.00%
040510,1,0,1,0.00%
040511,4,0,4,0.00%
040512,1,0,1,0.00%
040513,2,0,2,0.00%
040515,2,0,2,0.00%
040516,6,0,6,0.00%
040517,1,0,1,0.00%
040518,2,0,2,0.00%
040519,3,0,3,0.00%
040520,21,0,21,0.00%
040601,5,0,5,0.00%
040602,3,0,3,0.00%
040603,4,0,4,0.00%
040604,4,0,4,0.00%
040605,3,0,3,0.00%
040606,5,0,5,0.00%
040607,2,0,2,0.00%
040608,3,0,3,0.00%
040701,1,0,1,0.00%
040702,8,0,8,0.00%
040703,2,0,2,0.00%
040706,1,0,1,0.00%
040802,1,0,1,0.00%
040803,1,0,1,0.00%
040804,1,0,1,0.00%
040805,1,0,1,0.00%
040806,1,0,1,0.00%
040808,1,0,1,0.00%
040809,1,0,1,0.00%
040810,1,0,1,0.00%
040811,1,0,1,0.00%
050101,2,2,0,100.00%
050102,12,12,0,100.00%
050103,6,6,0,100.00%
050105,9,9,0,100.00%
050106,10,10,0,100.00%
050107,2,2,0,100.00%
050108,4,4,0,100.00%
050109,2,2,0,100.00%
050111,2,2,0,100.00%
050112,15,15,0,100.00%
050113,5,5,0,100.00%
050114,18,18,0,100.00%
050201,9,9,0,100.00%
050202,17,17,0,100.00%
050203,10,10,0,100.00%
050204,3,3,0,100.00%
050205,2,2,0,100.00%
050206,9,9,0,100.00%
050302,4,4,0,100.00%
050303,4,4,0,100.00%
050304,6,6,0,100.00%
050401,6,6,0,100.00%
050402,5,5,0,100.00%
050403,6,6,0,100.00%
050404,5,5,0,100.00%
050405,2,2,0,100.00%
050406,10,10,0,100.00%
050407,11,11,0,100.00%
050408,11,11,0,100.00%
050409,1,1,0,100.00%
050411,2,2,0,100.00%
050501,6,6,0,100.00%
050502,8,8,0,100.00%
050503,9,9,0,100.00%
050504,4,4,0,100.00%
050505,4,4,0,100.00%
050506,2,2,0,100.00%
