UBIGEO,total_escuelas_pronatel,escuelas_operativas,escuelas_no_operativas,pct_escuelas_operativas
130810,7,0,7,0.00%
130811,5,0,5,0.00%
130812,7,0,7,0.00%
130813,5,0,5,0.00%
130901,24,0,24,0.00%
130902,35,0,35,0.00%
130903,23,0,23,0.00%
130904,8,0,8,0.00%
130905,17,0,17,0.00%
130906,26,0,26,0.00%
130907,23,0,23,0.00%
130908,17,0,17,0.00%
131001,17,0,17,0.00%
131002,8,0,8,0.00%
131003,5,0,5,0.00%
131004,4,0,4,0.00%
131005,3,0,3,0.00%
131006,21,0,21,0.00%
131007,6,0,6,0.00%
131008,14,0,14,0.00%
131101,7,0,7,0.00%
131102,12,0,12,0.00%
131103,2,0,2,0.00%
131104,12,0,12,0.00%
131201,5,0,5,0.00%
131202,1,0,1,0.00%
140102,11,11,0,100.00%
140103,2,2,0,100.00%
140105,1,1,0,100.00%
140106,3,3,0,100.00%
140107,6,6,0,100.00%
140108,8,8,0,100.00%
140109,5,5,0,100.00%
140110,8,8,0,100.00%
140111,3,3,0,100.00%
140112,1,1,0,100.00%
140113,4,4,0,100.00%
140115,7,7,0,100.00%
140116,4,4,0,100.00%
140117,7,7,0,100.00%
140118,2,2,0,100.00%
140119,9,9,0,100.00%
140120,2,2,0,100.00%
140201,1,1,0,100.00%
140202,3,3,0,100.00%
140203,32,32,0,100.00%
140204,3,3,0,100.00%
140205,27,27,0,100.00%
140206,2,2,0,100.00%
140301,16,16,0,100.00%
140302,1,1,0,100.00%
140303,11,11,0,100.00%
140304,15,15,0,100.00%
140305,14,14,0,100.00%
140306,47,47,0,100.00%
140307,16,16,0,100.00%
140308,47,47,0,100.00%
140309,11,11,0,100.00%
140310,22,22,0,100.00%
140311,3,3,0,100.00%
140312,18,18,0,100.00%
150201,3,3,0,100.00%
150202,4,4,0,100.00%
150203,6,6,0,100.00%
150204,6,6,0,100.00%
150301,2,2,0,100.00%
150302,2,2,0,100.00%
150303,4,4,0,100.00%
150304,5,5,0,100.00%
150305,2,2,0,100.00%
150401,2,2,0,100.00%
150402,1,1,0,100.00%
150403,2,2,0,100.00%
150404,4,4,0,100.00%
150405,1,1,0,100.00%
150407,9,9,0,100.00%
150501,7,7,0,100.00%
150502,2,2,0,100.00%
150503,2,2,0,100.00%
150506,1,1,0,100.00%
150507,2,2,0,100.00%
150508,2,2,0,100.00%
150509,2,2,0,100.00%
150510,3,3,0,100.00%
150511,3,3,0,100.00%
150512,2,2,0,100.00%
150514,2,2,0,100.00%
150515,2,2,0,100.00%
150516,2,2,0,100.00%
150601,7,7,0,100.00%
150602,2,2,0,100.00%
150603,2,2,0,100.00%
150604,4,4,0,100.00%
150605,2,2,0,100.00%
150606,4,4,0,100.00%
150607,1,1,0,100.00%
150608,1,1,0,100.00%
150609,1,1,0,100.00%
150610,2,2,0,100.00%
150611,2,2,0,100.00%
150612,1,1,0,100.00%
150702,1,1,0,100.00%
150703,1,1,0,100.00%
150704,1,1,0,100.00%
150705,1,1,0,100.00%
150706,1,1,0,100.00%
150707,1,1,0,100.00%
150708,1,1,0,100.00%
150709,3,3,0,100.00%
150710,1,1,0,100.00%
150711,2,2,0,100.00%
150712,1,1,0,100.00%
150713,1,1,0,100.00%
150714,1,1,0,100.00%
150715,2,2,0,100.00%
150716,1,1,0,100.00%
150718,2,2,0,100.00%
150720,1,1,0,100.00%
150721,2,2,0,100.00%
150723,2,2,0,100.00%
150724,1,1,0,100.00%
150727,1,1,0,100.00%
150728,1,1,0,100.00%
150729,1,1,0,100.00%
150730,1,1,0,100.00%
150731,1,1,0,100.00%
150801,1,1,0,100.00%
150802,1,1,0,100.00%
150804,2,2,0,100.00%
150806,2,2,0,100.00%
150807,5,5,0,100.00%
150808,2,2,0,100.00%
150809,2,2,0,100.00%
150810,3,3,0,100.00%
150811,9,9,0,100.00%
150812,1,1,0,100.00%
150901,4,4,0,100.00%
150902,1,1,0,100.00%
150903,2,2,0,100.00%
150904,1,1,0,100.00%
150905,1,1,0,100.00%
150906,3,3,0,100.00%
151001,2,2,0,100.00%
151002,2,2,0,100.00%
151003,3,3,0,100.00%
151004,2,2,0,100.00%
151005,1,1,0,100.00%
151006,2,2,0,100.00%
151008,3,3,0,100.00%
151009,1,1,0,100.00%
151010,1,1,0,100.00%
151011,2,2,0,100.00%
151012,2,2,0,100.00%
151013,1,1,0,100.00%
151014,1,1,0,100.00%
151015,2,2,0,100.00%
151016,2,2,0,100.00%
151017,2,2,0,100.00%
151018,2,2,0,100.00%
151019,2,2,0,100.00%
151020,3,3,0,100.00%
151021,1,1,0,100.00%
151022,2,2,0,100.00%
151023,1,1,0,100.00%
151024,3,3,0,100.00%
151025,1,1,0,100.00%
151026,1,1,0,100.00%
151027,1,1,0,100.00%
151028,2,2,0,100.00%
151029,2,2,0,100.00%
151030,2,2,0,100.00%
151031,1,1,0,100.00%
151032,5,5,0,100.00%
151033,2,2,0,100.00%
160101,1,0,1,0.00%
160103,6,0,6,0.00%
160104,13,12,1,92.31%
160105,7,6,1,85.71%
160106,62,9,53,14.52%
160107,74,0,74,0.00%
160108,12,4,8,33.33%
160110,20,0,20,0.00%
160112,14,1,13,7.14%
160206,9,0,9,0.00%
160210,9,0,9,0.00%
160301,2,0,2,0.00%
160302,9,0,9,0.00%
160305,10,0,10,0.00%
160401,10,10,0,100.00%
160402,12,12,0,100.00%
160403,4,4,0,100.00%
160404,15,15,0,100.00%
160703,52,0,52,0.00%
160801,18,0,18,0.00%
160802,7,0,7,0.00%
160803,24,0,24,0.00%
160804,11,0,11,0.00%
180101,1,1,0,100.00%
180102,8,7,1,87.50%
180103,5,3,2,60.00%
180104,1,1,0,100.00%
180105,2,1,1,50.00%
180106,1,1,0,100.00%
180201,5,5,0,100.00%
180202,4,4,0,100.00%
180203,5,5,0,100.00%
180204,2,2,0,100.00%
180205,3,3,0,100.00%
180206,1,1,0,100.00%
180207,1,1,0,100.00%
180208,11,11,0,100.00%
180209,2,2,0,100.00%
180210,12,12,0,100.00%
180211,1,1,0,100.00%
180302,1,1,0,100.00%
190102,10,0,10,0.00%
190103,5,0,5,0.00%
190104,8,0,8,0.00%
190105,8,0,8,0.00%
190106,9,0,9,0.00%
190107,37,0,37,0.00%
190108,5,0,5,0.00%
190109,10,0,10,0.00%
190110,6,0,6,0.00%
190111,3,0,3,0.00%
190112,2,0,2,0.00%
190113,5,0,5,0.00%
190201,32,0,32,0.00%
190202,11,0,11,0.00%
190203,1,0,1,0.00%
190204,4,0,4,0.00%
190205,3,0,3,0.00%
190206,35,0,35,0.00%
190207,7,0,7,0.00%
190208,8,0,8,0.00%
190301,6,0,6,0.00%
190302,6,0,6,0.00%
190303,11,0,11,0.00%
190304,22,0,22,0.00%
190305,22,0,22,0.00%
190306,34,0,34,0.00%
190307,11,0,11,0.00%
190308,35,0,35,0.00%
200101,2,0,2,0.00%
200104,4,0,4,0.00%
200105,2,0,2,0.00%
200108,1,0,1,0.00%
200109,6,0,6,0.00%
200111,18,0,18,0.00%
200114,33,0,33,0.00%
200201,67,0,67,0.00%
200202,29,0,29,0.00%
200203,6,0,6,0.00%
200204,16,0,16,0.00%
200205,11,0,11,0.00%
200206,53,0,53,0.00%
200207,17,0,17,0.00%
200208,13,0,13,0.00%
200209,4,0,4,0.00%
200210,27,0,27,0.00%
200301,22,0,22,0.00%
200302,10,0,10,0.00%
200303,16,0,16,0.00%
200304,37,0,37,0.00%
200305,8,0,8,0.00%
200306,13,0,13,0.00%
200307,8,0,8,0.00%
200308,9,0,9,0.00%
200401,8,0,8,0.00%
200402,4,0,4,0.00%
200403,9,0,9,0.00%
200405,4,0,4,0.00%
200406,11,0,11,0.00%
200407,1,0,1,0.00%
200408,5,0,5,0.00%
200409,6,0,6,0.00%
200410,13,0,13,0.00%
200501,2,0,2,0.00%
200503,1,0,1,0.00%
200504,2,0,2,0.00%
200507,3,0,3,0.00%
200601,9,0,9,0.00%
200603,1,0,1,0.00%
200604,15,0,15,0.00%
200605,1,0,1,0.00%
200606,3,0,3,0.00%
200701,1,0,1,0.00%
200702,1,0,1,0.00%
200705,1,0,1,0.00%
200801,4,0,4,0.00%
200804,1,0,1,0.00%
210101,3,2,1,66.67%
210102,34,11,23,32.35%
210103,3,0,3,0.00%
210104,4,4,0,100.00%
210105,10,8,2,80.00%
210106,12,7,5,58.33%
210107,8,6,2,75.00%
210108,2,1,1,50.00%
210109,4,4,0,100.00%
210111,5,5,0,100.00%
210112,12,5,7,41.67%
210113,2,2,0,100.00%
210114,2,2,0,100.00%
210115,2,2,0,100.00%
210201,6,0,6,0.00%
210202,4,2,2,50.00%
210203,9,3,6,33.33%
210204,15,13,2,86.67%
210206,9,2,7,22.22%
210208,5,5,0,100.00%
210209,4,0,4,0.00%
210210,8,5,3,62.50%
210211,3,1,2,33.33%
210212,4,2,2,50.00%
210213,5,2,3,40.00%
210214,6,2,4,33.33%
210215,1,1,0,100.00%
210301,4,0,4,0.00%
210302,2,0,2,0.00%
210303,15,0,15,0.00%
210304,8,3,5,37.50%
210305,10,0,10,0.00%
210306,7,0,7,0.00%
210307,7,0,7,0.00%
210308,5,0,5,0.00%
210309,4,0,4,0.00%
210310,7,0,7,0.00%
210401,15,0,15,0.00%
210402,3,0,3,0.00%
210403,6,6,0,100.00%
210404,6,0,6,0.00%
210405,1,1,0,100.00%
210406,21,7,14,33.33%
210407,19,1,18,5.26%
210501,42,0,42,0.00%
210502,2,2,0,100.00%
210503,18,0,18,0.00%
210504,2,0,2,0.00%
210505,2,2,0,100.00%
210601,12,0,12,0.00%
210602,3,0,3,0.00%
210603,3,3,0,100.00%
210604,2,2,0,100.00%
210605,3,2,1,66.67%
210606,10,4,6,40.00%
210607,9,2,7,22.22%
210608,12,0,12,0.00%
210701,5,0,5,0.00%
210702,4,4,0,100.00%
210705,2,2,0,100.00%
210706,2,2,0,100.00%
210707,4,4,0,100.00%
210708,4,2,2,50.00%
210709,4,2,2,50.00%
210710,1,1,0,100.00%
210802,5,3,2,60.00%
210803,2,2,0,100.00%
210805,9,8,1,88.89%
210806,2,2,0,100.00%
210807,10,8,2,80.00%
210808,3,2,1,66.67%
210901,12,0,12,0.00%
210902,3,2,1,66.67%
210903,4,0,4,0.00%
210904,2,2,0,100.00%
211001,4,2,2,50.00%
211002,5,0,5,0.00%
211003,4,4,0,100.00%
211004,4,2,2,50.00%
211005,3,3,0,100.00%
211101,1,0,1,0.00%
211102,3,2,1,66.67%
211103,4,2,2,50.00%
211201,12,0,12,0.00%
211202,6,0,6,0.00%
211203,4,0,4,0.00%
211204,6,0,6,0.00%
211205,8,0,8,0.00%
211206,3,0,3,0.00%
211207,3,0,3,0.00%
211208,2,0,2,0.00%
211209,9,0,9,0.00%
211210,5,0,5,0.00%
211301,20,0,20,0.00%
211302,2,2,0,100.00%
211304,3,0,3,0.00%
211305,1,1,0,100.00%
211307,2,2,0,100.00%
220101,26,0,26,0.00%
220104,7,0,7,0.00%
220105,3,0,3,0.00%
220201,1,0,1,0.00%
220202,3,0,3,0.00%
220203,3,0,3,0.00%
220205,2,0,2,0.00%
220206,1,0,1,0.00%
220301,12,0,12,0.00%
220302,3,0,3,0.00%
220303,10,0,10,0.00%
220304,4,0,4,0.00%
220305,4,0,4,0.00%
220402,2,0,2,0.00%
220403,4,0,4,0.00%
220405,2,0,2,0.00%
220501,3,0,3,0.00%
220502,3,0,3,0.00%
220503,5,0,5,0.00%
220504,3,0,3,0.00%
220505,5,0,5,0.00%
220506,1,0,1,0.00%
220508,2,0,2,0.00%
220511,6,0,6,0.00%
220602,1,0,1,0.00%
220603,3,0,3,0.00%
220604,3,0,3,0.00%
220605,2,0,2,0.00%
220704,2,0,2,0.00%
220707,2,0,2,0.00%
220708,4,0,4,0.00%
220709,2,0,2,0.00%
220710,1,0,1,0.00%
220802,3,0,3,0.00%
220803,1,0,1,0.00%
220804,6,0,6,0.00%
220805,7,0,7,0.00%
220807,1,0,1,0.00%
220902,1,0,1,0.00%
220904,8,0,8,0.00%
220905,4,0,4,0.00%
220906,3,0,3,0.00%
220907,5,0,5,0.00%
220911,2,0,2,0.00%
220914,2,0,2,0.00%
221001,7,0,7,0.00%
221002,4,0,4,0.00%
221003,9,0,9,0.00%
221004,1,0,1,0.00%
221005,6,0,6,0.00%
230101,1,1,0,100.00%
230103,3,3,0,100.00%
230105,4,4,0,100.00%
230106,4,4,0,100.00%
230107,2,2,0,100.00%
230109,5,5,0,100.00%
230111,16,16,0,100.00%
230201,2,2,0,100.00%
230203,6,6,0,100.00%
230206,1,1,0,100.00%
230301,3,3,0,100.00%
230302,4,2,2,50.00%
230303,6,6,0,100.00%
230401,1,0,1,0.00%
230402,1,1,0,100.00%
230403,2,1,1,50.00%
230404,1,0,1,0.00%
230405,1,1,0,100.00%
230406,2,2,0,100.00%
230407,1,0,1,0.00%
230408,1,0,1,0.00%
240103,1,0,1,0.00%
240104,8,0,8,0.00%
240105,8,0,8,0.00%
240106,3,0,3,0.00%
240201,3,0,3,0.00%
240202,11,0,11,0.00%
240203,1,0,1,0.00%
240301,1,0,1,0.00%
240302,3,0,3,0.00%
240303,5,0,5,0.00%
240304,8,0,8,0.00%
