UBIGEO,total_establecimientos_salud_pronatel,establecimientos_operativos,establecimientos_no_operativos,pct_establecimientos_operativos
030203,1,1,0,100.00%
030204,9,9,0,100.00%
030205,4,4,0,100.00%
030206,1,1,0,100.00%
030207,2,2,0,100.00%
030208,7,7,0,100.00%
030209,5,5,0,100.00%
030210,1,1,0,100.00%
030211,1,1,0,100.00%
030212,3,3,0,100.00%
030213,7,7,0,100.00%
030214,1,1,0,100.00%
030215,7,7,0,100.00%
030216,4,4,0,100.00%
030217,1,1,0,100.00%
030218,4,4,0,100.00%
030219,2,2,0,100.00%
030220,2,2,0,100.00%
030302,1,1,0,100.00%
030303,2,2,0,100.00%
030304,3,3,0,100.00%
030305,1,1,0,100.00%
030306,2,2,0,100.00%
030307,2,2,0,100.00%
030401,2,2,0,100.00%
030402,3,3,0,100.00%
030403,1,1,0,100.00%
030404,4,4,0,100.00%
030405,1,1,0,100.00%
030406,2,2,0,100.00%
030407,1,1,0,100.00%
030408,2,2,0,100.00%
030409,2,2,0,100.00%
030410,4,4,0,100.00%
030411,1,1,0,100.00%
030412,1,1,0,100.00%
030413,2,2,0,100.00%
030414,3,3,0,100.00%
030415,4,4,0,100.00%
030416,3,3,0,100.00%
030417,2,2,0,100.00%
030501,1,1,0,100.00%
030502,3,3,0,100.00%
030503,3,3,0,100.00%
030504,7,7,0,100.00%
030505,3,3,0,100.00%
030506,2,2,0,100.00%
030601,3,3,0,100.00%
030602,4,4,0,100.00%
030603,1,1,0,100.00%
030604,3,3,0,100.00%
030605,5,5,0,100.00%
030606,3,3,0,100.00%
030607,2,2,0,100.00%
030608,6,6,0,100.00%
030609,3,3,0,100.00%
030610,2,2,0,100.00%
030701,2,2,0,100.00%
030702,4,4,0,100.00%
030703,4,4,0,100.00%
030704,4,4,0,100.00%
030705,1,1,0,100.00%
030706,1,1,0,100.00%
030707,1,1,0,100.00%
030708,1,1,0,100.00%
030709,1,1,0,100.00%
030710,2,2,0,100.00%
030711,1,1,0,100.00%
030712,1,1,0,100.00%
030713,1,1,0,100.00%
030714,2,2,0,100.00%
040106,2,0,2,0.00%
040108,7,0,7,0.00%
040111,2,0,2,0.00%
040113,2,0,2,0.00%
040114,1,0,1,0.00%
040118,1,0,1,0.00%
040119,1,0,1,0.00%
040120,2,0,2,0.00%
040123,1,0,1,0.00%
040125,1,0,1,0.00%
040127,1,0,1,0.00%
040128,2,0,2,0.00%
040202,3,0,3,0.00%
040203,2,0,2,0.00%
040204,2,0,2,0.00%
040205,2,0,2,0.00%
040206,2,0,2,0.00%
040207,1,0,1,0.00%
040208,4,0,4,0.00%
040304,2,0,2,0.00%
040306,1,0,1,0.00%
040308,2,0,2,0.00%
040309,1,0,1,0.00%
040310,1,0,1,0.00%
040311,1,0,1,0.00%
040312,1,0,1,0.00%
040313,1,0,1,0.00%
040401,5,0,5,0.00%
040402,2,0,2,0.00%
040403,1,0,1,0.00%
040404,1,0,1,0.00%
040405,2,0,2,0.00%
040406,1,0,1,0.00%
040407,1,0,1,0.00%
040408,1,0,1,0.00%
040410,2,0,2,0.00%
040411,2,0,2,0.00%
040412,1,0,1,0.00%
040413,3,0,3,0.00%
040414,1,0,1,0.00%
040501,1,0,1,0.00%
040502,1,0,1,0.00%
040503,2,0,2,0.00%
040504,1,0,1,0.00%
040505,1,0,1,0.00%
040506,1,0,1,0.00%
040507,1,0,1,0.00%
040508,1,0,1,0.00%
040509,1,0,1,0.00%
040510,1,0,1,0.00%
040511,2,0,2,0.00%
040512,1,0,1,0.00%
040513,1,0,1,0.00%
