UBIGEO,total_establecimientos_salud_pronatel,establecimientos_operativos,establecimientos_no_operativos,pct_establecimientos_operativos
130305,2,0,2,0.00%
130306,1,0,1,0.00%
130403,2,0,2,0.00%
130501,6,0,6,0.00%
130502,4,0,4,0.00%
130503,1,0,1,0.00%
130504,7,0,7,0.00%
130601,5,0,5,0.00%
130602,9,0,9,0.00%
130604,4,0,4,0.00%
130605,2,0,2,0.00%
130606,1,0,1,0.00%
130608,3,0,3,0.00%
130610,1,0,1,0.00%
130611,3,0,3,0.00%
130613,2,0,2,0.00%
130614,10,0,10,0.00%
130701,2,0,2,0.00%
130702,2,0,2,0.00%
130705,1,0,1,0.00%
130801,1,0,1,0.00%
130802,4,0,4,0.00%
130803,4,0,4,0.00%
130804,4,0,4,0.00%
130805,2,0,2,0.00%
130806,3,0,3,0.00%
130807,1,0,1,0.00%
130808,4,0,4,0.00%
130809,2,0,2,0.00%
130810,1,0,1,0.00%
130811,2,0,2,0.00%
130812,1,0,1,0.00%
130813,1,0,1,0.00%
130901,2,0,2,0.00%
130902,4,0,4,0.00%
130903,5,0,5,0.00%
130904,3,0,3,0.00%
130905,6,0,6,0.00%
130906,5,0,5,0.00%
130907,5,0,5,0.00%
130908,4,0,4,0.00%
131001,2,0,2,0.00%
131002,1,0,1,0.00%
131003,1,0,1,0.00%
131004,2,0,2,0.00%
131005,1,0,1,0.00%
131006,6,0,6,0.00%
131007,3,0,3,0.00%
131008,4,0,4,0.00%
131101,1,0,1,0.00%
131102,5,0,5,0.00%
131103,2,0,2,0.00%
131104,2,0,2,0.00%
131201,6,0,6,0.00%
131202,3,0,3,0.00%
131203,1,0,1,0.00%
140101,1,1,0,100.00%
140102,2,2,0,100.00%
140106,1,1,0,100.00%
140107,5,5,0,100.00%
140108,2,2,0,100.00%
140109,2,2,0,100.00%
140110,3,3,0,100.00%
140111,1,1,0,100.00%
140112,1,1,0,100.00%
140113,1,1,0,100.00%
140115,4,4,0,100.00%
140116,1,1,0,100.00%
140117,1,1,0,100.00%
140119,1,1,0,100.00%
140202,1,1,0,100.00%
140203,10,10,0,100.00%
140204,1,1,0,100.00%
140205,8,8,0,100.00%
140206,1,1,0,100.00%
140301,2,2,0,100.00%
140302,1,1,0,100.00%
140303,3,3,0,100.00%
140304,1,1,0,100.00%
140305,3,3,0,100.00%
140306,21,21,0,100.00%
140307,4,4,0,100.00%
140308,11,11,0,100.00%
140309,1,1,0,100.00%
140310,7,7,0,100.00%
140311,2,2,0,100.00%
140312,5,5,0,100.00%
150201,6,6,0,100.00%
150202,4,4,0,100.00%
150203,5,5,0,100.00%
150204,5,5,0,100.00%
150301,1,1,0,100.00%
150302,2,2,0,100.00%
150303,1,1,0,100.00%
150304,1,1,0,100.00%
150305,1,1,0,100.00%
150401,2,2,0,100.00%
150402,2,2,0,100.00%
150403,3,3,0,100.00%
150404,2,2,0,100.00%
150405,1,1,0,100.00%
150406,2,2,0,100.00%
150407,3,3,0,100.00%
150501,2,2,0,100.00%
150502,1,1,0,100.00%
150503,1,1,0,100.00%
150505,1,1,0,100.00%
150506,1,1,0,100.00%
150507,1,1,0,100.00%
150509,1,1,0,100.00%
150510,5,5,0,100.00%
150511,1,1,0,100.00%
150512,1,1,0,100.00%
150514,3,3,0,100.00%
150515,1,1,0,100.00%
150516,1,1,0,100.00%
150601,9,9,0,100.00%
150602,4,4,0,100.00%
150603,4,4,0,100.00%
150604,4,4,0,100.00%
150605,4,4,0,100.00%
150606,4,4,0,100.00%
150607,2,2,0,100.00%
150608,3,3,0,100.00%
150609,2,2,0,100.00%
150610,4,4,0,100.00%
150611,4,4,0,100.00%
150612,2,2,0,100.00%
150702,1,1,0,100.00%
150703,1,1,0,100.00%
150704,1,1,0,100.00%
150705,1,1,0,100.00%
150706,3,3,0,100.00%
150707,2,2,0,100.00%
150708,1,1,0,100.00%
150709,2,2,0,100.00%
150710,2,2,0,100.00%
150711,2,2,0,100.00%
150712,1,1,0,100.00%
150713,1,1,0,100.00%
150715,1,1,0,100.00%
150716,1,1,0,100.00%
150717,1,1,0,100.00%
150718,1,1,0,100.00%
150719,1,1,0,100.00%
150720,1,1,0,100.00%
150721,2,2,0,100.00%
150723,3,3,0,100.00%
150724,1,1,0,100.00%
150725,1,1,0,100.00%
150726,3,3,0,100.00%
150727,1,1,0,100.00%
150728,1,1,0,100.00%
150729,1,1,0,100.00%
150730,1,1,0,100.00%
150731,1,1,0,100.00%
150732,1,1,0,100.00%
150802,1,1,0,100.00%
150804,1,1,0,100.00%
150806,1,1,0,100.00%
150807,2,2,0,100.00%
150808,1,1,0,100.00%
150809,2,2,0,100.00%
150811,4,4,0,100.00%
150812,4,4,0,100.00%
150901,1,1,0,100.00%
150902,1,1,0,100.00%
150903,1,1,0,100.00%
150904,1,1,0,100.00%
150905,1,1,0,100.00%
150906,1,1,0,100.00%
151001,1,1,0,100.00%
151002,1,1,0,100.00%
151003,1,1,0,100.00%
151004,1,1,0,100.00%
151005,1,1,0,100.00%
151006,1,1,0,100.00%
151007,1,1,0,100.00%
151008,1,1,0,100.00%
151009,1,1,0,100.00%
151011,1,1,0,100.00%
151012,1,1,0,100.00%
151013,1,1,0,100.00%
151014,1,1,0,100.00%
151015,1,1,0,100.00%
151016,1,1,0,100.00%
151017,1,1,0,100.00%
151018,1,1,0,100.00%
151019,1,1,0,100.00%
151020,1,1,0,100.00%
151021,1,1,0,100.00%
151022,1,1,0,100.00%
151023,1,1,0,100.00%
151024,1,1,0,100.00%
151025,1,1,0,100.00%
151027,1,1,0,100.00%
151028,1,1,0,100.00%
151029,1,1,0,100.00%
151030,1,1,0,100.00%
151031,1,1,0,100.00%
151032,2,2,0,100.00%
151033,1,1,0,100.00%
160101,1,0,1,0.00%
160103,1,0,1,0.00%
160104,5,5,0,100.00%
160105,4,4,0,100.00%
160106,7,3,4,42.86%
160107,8,0,8,0.00%
160108,2,2,0,100.00%
160110,5,0,5,0.00%
160112,2,1,1,50.00%
160210,1,0,1,0.00%
160305,1,0,1,0.00%
160401,4,4,0,100.00%
160402,6,6,0,100.00%
160403,1,1,0,100.00%
160404,3,3,0,100.00%
160703,14,0,14,0.00%
160801,4,0,4,0.00%
160802,2,0,2,0.00%
160803,5,0,5,0.00%
160804,4,0,4,0.00%
180101,2,2,0,100.00%
180102,3,3,0,100.00%
180103,3,2,1,66.67%
180104,1,1,0,100.00%
180105,2,1,1,50.00%
180106,1,1,0,100.00%
180201,1,1,0,100.00%
180202,2,2,0,100.00%
180203,1,1,0,100.00%
180204,2,2,0,100.00%
180206,1,1,0,100.00%
180207,2,2,0,100.00%
180208,3,3,0,100.00%
180209,1,1,0,100.00%
180210,2,2,0,100.00%
180211,1,1,0,100.00%
180302,1,1,0,100.00%
190102,4,0,4,0.00%
190103,2,0,2,0.00%
190104,5,0,5,0.00%
190105,4,0,4,0.00%
190106,4,0,4,0.00%
190107,8,0,8,0.00%
190108,2,0,2,0.00%
190109,7,0,7,0.00%
190110,3,0,3,0.00%
190111,3,0,3,0.00%
190112,2,0,2,0.00%
190113,5,0,5,0.00%
190201,19,0,19,0.00%
190202,5,0,5,0.00%
190203,1,0,1,0.00%
190204,3,0,3,0.00%
190205,1,0,1,0.00%
190206,14,0,14,0.00%
190207,3,0,3,0.00%
190208,4,0,4,0.00%
190301,4,0,4,0.00%
190302,2,0,2,0.00%
190303,5,0,5,0.00%
190304,9,0,9,0.00%
190305,8,0,8,0.00%
190306,10,0,10,0.00%
190307,7,0,7,0.00%
190308,11,0,11,0.00%
200104,4,0,4,0.00%
200105,5,0,5,0.00%
200107,2,0,2,0.00%
200108,1,0,1,0.00%
200109,5,0,5,0.00%
200110,2,0,2,0.00%
200111,13,0,13,0.00%
200114,9,0,9,0.00%
200201,25,0,25,0.00%
200202,3,0,3,0.00%
200203,3,0,3,0.00%
200204,5,0,5,0.00%
200205,4,0,4,0.00%
200206,7,0,7,0.00%
200207,3,0,3,0.00%
200208,3,0,3,0.00%
200209,2,0,2,0.00%
200210,8,0,8,0.00%
200301,6,0,6,0.00%
200302,3,0,3,0.00%
200303,4,0,4,0.00%
200304,13,0,13,0.00%
200305,2,0,2,0.00%
200306,7,0,7,0.00%
200308,4,0,4,0.00%
200401,4,0,4,0.00%
200402,4,0,4,0.00%
200403,3,0,3,0.00%
200405,5,0,5,0.00%
200406,4,0,4,0.00%
200408,2,0,2,0.00%
200409,1,0,1,0.00%
200410,3,0,3,0.00%
200501,2,0,2,0.00%
200505,1,0,1,0.00%
200506,1,0,1,0.00%
200507,2,0,2,0.00%
200601,8,0,8,0.00%
200603,3,0,3,0.00%
200604,10,0,10,0.00%
200605,8,0,8,0.00%
200606,2,0,2,0.00%
200608,1,0,1,0.00%
200702,1,0,1,0.00%
200705,1,0,1,0.00%
200801,3,0,3,0.00%
200802,2,0,2,0.00%
200804,2,0,2,0.00%
200805,2,0,2,0.00%
200806,1,0,1,0.00%
210101,5,3,2,60.00%
210102,13,4,9,30.77%
210103,1,0,1,0.00%
210104,1,1,0,100.00%
210105,5,3,2,60.00%
210106,2,1,1,50.00%
210107,2,1,1,50.00%
210108,1,1,0,100.00%
210109,2,2,0,100.00%
210111,3,2,1,66.67%
210112,5,3,2,60.00%
210113,1,1,0,100.00%
210114,2,2,0,100.00%
210115,2,2,0,100.00%
210201,2,0,2,0.00%
210202,1,1,0,100.00%
210203,2,1,1,50.00%
210204,3,3,0,100.00%
210206,4,1,3,25.00%
210207,1,1,0,100.00%
210208,2,1,1,50.00%
210209,2,0,2,0.00%
210210,2,1,1,50.00%
210211,3,1,2,33.33%
210212,2,1,1,50.00%
210213,1,1,0,100.00%
210214,4,1,3,25.00%
210215,1,1,0,100.00%
210301,2,0,2,0.00%
210302,1,0,1,0.00%
210303,5,0,5,0.00%
210304,4,1,3,25.00%
210305,5,0,5,0.00%
210306,2,0,2,0.00%
210307,3,0,3,0.00%
210308,2,0,2,0.00%
210309,2,0,2,0.00%
210310,2,0,2,0.00%
210401,5,0,5,0.00%
210402,1,0,1,0.00%
210403,2,2,0,100.00%
210404,4,0,4,0.00%
210405,1,1,0,100.00%
210406,8,2,6,25.00%
210407,7,1,6,14.29%
210501,20,0,20,0.00%
210502,3,3,0,100.00%
210503,8,0,8,0.00%
210504,2,1,1,50.00%
210505,1,0,1,0.00%
210601,7,0,7,0.00%
210602,2,0,2,0.00%
210603,1,1,0,100.00%
210604,1,1,0,100.00%
210605,1,1,0,100.00%
210606,4,1,3,25.00%
210607,4,1,3,25.00%
210608,7,0,7,0.00%
210701,3,0,3,0.00%
210702,3,1,2,33.33%
210705,1,1,0,100.00%
210706,1,1,0,100.00%
210707,2,2,0,100.00%
210708,4,3,1,75.00%
210709,3,1,2,33.33%
210710,1,1,0,100.00%
210801,2,2,0,100.00%
210802,2,1,1,50.00%
210803,1,1,0,100.00%
210805,5,4,1,80.00%
210806,2,1,1,50.00%
210807,3,3,0,100.00%
210808,3,2,1,66.67%
210809,2,2,0,100.00%
210901,6,0,6,0.00%
210902,1,1,0,100.00%
210903,1,0,1,0.00%
210904,1,1,0,100.00%
211001,2,1,1,50.00%
211002,3,0,3,0.00%
211004,2,1,1,50.00%
211005,1,1,0,100.00%
211101,1,0,1,0.00%
211102,2,1,1,50.00%
211103,2,1,1,50.00%
211201,3,0,3,0.00%
211202,2,0,2,0.00%
211203,2,0,2,0.00%
211204,3,0,3,0.00%
211205,2,0,2,0.00%
211206,1,0,1,0.00%
211207,2,0,2,0.00%
211208,1,0,1,0.00%
211209,4,0,4,0.00%
211210,4,0,4,0.00%
211301,6,0,6,0.00%
211302,1,1,0,100.00%
211304,1,0,1,0.00%
211306,1,1,0,100.00%
220101,10,0,10,0.00%
220104,2,0,2,0.00%
220201,2,0,2,0.00%
220202,2,0,2,0.00%
220203,4,0,4,0.00%
220204,1,0,1,0.00%
220205,3,0,3,0.00%
220206,1,0,1,0.00%
220301,3,0,3,0.00%
220302,1,0,1,0.00%
220303,2,0,2,0.00%
220304,2,0,2,0.00%
220305,2,0,2,0.00%
220402,1,0,1,0.00%
220403,1,0,1,0.00%
220404,1,0,1,0.00%
220405,1,0,1,0.00%
220501,3,0,3,0.00%
220502,2,0,2,0.00%
220503,2,0,2,0.00%
220504,3,0,3,0.00%
220505,3,0,3,0.00%
220506,1,0,1,0.00%
220508,2,0,2,0.00%
220511,6,0,6,0.00%
220601,2,0,2,0.00%
220602,2,0,2,0.00%
220603,1,0,1,0.00%
220604,2,0,2,0.00%
220605,1,0,1,0.00%
220703,1,0,1,0.00%
220704,2,0,2,0.00%
220706,1,0,1,0.00%
220707,2,0,2,0.00%
220708,3,0,3,0.00%
220709,3,0,3,0.00%
220710,1,0,1,0.00%
220802,2,0,2,0.00%
220803,1,0,1,0.00%
220804,8,0,8,0.00%
220805,6,0,6,0.00%
220807,2,0,2,0.00%
220902,1,0,1,0.00%
220904,3,0,3,0.00%
220905,3,0,3,0.00%
220906,1,0,1,0.00%
220907,5,0,5,0.00%
220911,4,0,4,0.00%
220913,2,0,2,0.00%
220914,1,0,1,0.00%
221001,1,0,1,0.00%
221002,4,0,4,0.00%
221003,5,0,5,0.00%
221004,1,0,1,0.00%
221005,7,0,7,0.00%
230105,1,1,0,100.00%
230106,1,1,0,100.00%
230107,1,1,0,100.00%
230109,2,2,0,100.00%
230111,5,5,0,100.00%
230203,2,2,0,100.00%
230206,1,1,0,100.00%
230302,2,1,1,50.00%
230303,1,1,0,100.00%
230402,1,1,0,100.00%
230403,1,0,1,0.00%
230404,1,0,1,0.00%
230405,1,1,0,100.00%
230406,2,2,0,100.00%
230407,1,0,1,0.00%
230408,1,0,1,0.00%
240102,1,0,1,0.00%
240104,3,0,3,0.00%
240105,3,0,3,0.00%
240106,2,0,2,0.00%
240201,3,0,3,0.00%
240202,3,0,3,0.00%
240302,3,0,3,0.00%
240303,1,0,1,0.00%
240304,5,0,5,0.00%
